item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
211131,complete,07-01-2016,kreations_YI 06-L,1950,1,1950,100147443,Women's Fashion,\N,0,cod,07-01-2016,valid,"1,950",2016,7,2016-7,Jul-16,FY17,1
211133,canceled,07-01-2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147444,Beauty & Grooming,\N,0,cod,07-01-2016,Gross,240,2016,7,2016-7,Jul-16,FY17,2
211134,canceled,07-01-2016,Ego_UP0017-999-MR0,2450,1,2450,100147445,Women's Fashion,\N,0,cod,07-01-2016,Gross,"2,450",2016,7,2016-7,Jul-16,FY17,3
211135,complete,07-01-2016,kcc_krone deal,360,1,60,100147446,Beauty & Grooming,R-FSD-52352,300,cod,07-01-2016,Net,360,2016,7,2016-7,Jul-16,FY17,4
211136,order_refunded,07-01-2016,BK7010400AG,555,2,1110,100147447,Soghaat,\N,0,cod,07-01-2016,Valid,"1,110",2016,7,2016-7,Jul-16,FY17,5
211137,canceled,07-01-2016,UK_Namkino All In One 200 Gms,80,1,80,100147448,Soghaat,\N,0,cod,07-01-2016,Gross,80,2016,7,2016-7,Jul-16,FY17,6
211138,complete,07-01-2016,kcc_krone deal,360,1,60,100147449,Beauty & Grooming,\N,300,cod,07-01-2016,Net,360,2016,7,2016-7,Jul-16,FY17,7
211139,complete,07-01-2016,UK_Namkino Mix Nimco 400 Gms,170,1,170,100147450,Soghaat,\N,0,cod,07-01-2016,Net,170,2016,7,2016-7,Jul-16,FY17,6
211140,canceled,07-01-2016,Apple iPhone 6S 64GB,96499,1,96499,100147451,Mobiles & Tablets,\N,0,ublcreditcard,07-01-2016,Gross,"96,499",2016,7,2016-7,Jul-16,FY17,8
211141,canceled,07-01-2016,Apple iPhone 6S 64GB,96499,1,96499,100147452,Mobiles & Tablets,\N,0,mygateway,07-01-2016,Gross,"96,499",2016,7,2016-7,Jul-16,FY17,8
211142,complete,07-01-2016,"GFC_Pedestal Myga Cross Base (Special Guard) 24""",5500,1,5500,100147453,Appliances,\N,0,cod,07-01-2016,Net,"5,500",2016,7,2016-7,Jul-16,FY17,9
211143,received,07-01-2016,BK1070200PL,210,1,366,100147454,Soghaat,\N,0,cod,07-01-2016,Valid,210,2016,7,2016-7,Jul-16,FY17,10
211144,received,07-01-2016,BK1130200CF,156,1,366,100147454,Soghaat,\N,0,cod,07-01-2016,Valid,156,2016,7,2016-7,Jul-16,FY17,10
211145,complete,07-01-2016,kcc_Sultanat,120,1,120,100147455,Home & Living,105259,0,ublcreditcard,07-01-2016,Net,120,2016,7,2016-7,Jul-16,FY17,11
211146,complete,07-01-2016,kcc_glamour deal,320,1,0,100147456,Beauty & Grooming,\N,0,customercredit,07-01-2016,Net,320,2016,7,2016-7,Jul-16,FY17,12
211147,canceled,07-01-2016,Assetmen_MD-346-M,1550,1,1550,100147457,Men's Fashion,105259,0,ublcreditcard,07-01-2016,Gross,"1,550",2016,7,2016-7,Jul-16,FY17,11
211149,complete,07-01-2016,cr_DATES WITH CASHEW-400 GM,420,1,1270,100147458,Soghaat,R-KHW-104406,0,cod,07-01-2016,Net,420,2016,7,2016-7,Jul-16,FY17,13
211150,complete,07-01-2016,UK_Gift Box Mix Dry Fruit Sweets 500 Gms,360,1,1270,100147458,Soghaat,R-KHW-104406,0,cod,07-01-2016,Net,360,2016,7,2016-7,Jul-16,FY17,13
211151,complete,07-01-2016,itter_AB 1199,490,1,1270,100147458,Beauty & Grooming,R-KHW-104406,0,cod,07-01-2016,Net,490,2016,7,2016-7,Jul-16,FY17,13
211152,canceled,07-01-2016,RL_B005,899.25,1,2118.25,100147459,Home & Living,\N,0,cod,07-01-2016,Gross,899,2016,7,2016-7,Jul-16,FY17,14
211153,canceled,07-01-2016,bed&rest_S7,899,1,2118.25,100147459,Home & Living,\N,0,cod,07-01-2016,Gross,899,2016,7,2016-7,Jul-16,FY17,14
211154,canceled,07-01-2016,L&L_LLHLE8224S,320,1,2118.25,100147459,Home & Living,\N,0,cod,07-01-2016,Gross,320,2016,7,2016-7,Jul-16,FY17,14
211155,complete,07-01-2016,J&J_JJR-4,149,1,298,100147460,Kids & Baby,\N,0,cod,07-01-2016,Net,149,2016,7,2016-7,Jul-16,FY17,15
211156,complete,07-01-2016,J&J_JJR-20,149,1,298,100147460,Kids & Baby,\N,0,cod,07-01-2016,Net,149,2016,7,2016-7,Jul-16,FY17,15
211157,order_refunded,07-01-2016,D Lend a Helping Hand,1000,1,0,100147461,\N,\N,0,customercredit,07-01-2016,Valid,"1,000",2016,7,2016-7,Jul-16,FY17,16
211158,order_refunded,07-01-2016,Mochika_M0001112-12,1913,1,3826,100147462,Men's Fashion,\N,0,cod,07-01-2016,Valid,"1,913",2016,7,2016-7,Jul-16,FY17,17
211160,order_refunded,07-01-2016,Mochika_M0001112-8,1913,1,3826,100147462,Men's Fashion,\N,0,cod,07-01-2016,Valid,"1,913",2016,7,2016-7,Jul-16,FY17,17
211162,complete,07-01-2016,SKMT_Blood Test,500,1,0,100147463,Others,\N,0,customercredit,07-01-2016,Net,500,2016,7,2016-7,Jul-16,FY17,16
211163,complete,07-01-2016,SKMT_Medicine,100,5,0,100147463,Others,\N,0,customercredit,07-01-2016,Net,500,2016,7,2016-7,Jul-16,FY17,16
211164,canceled,07-01-2016,sputnik_701/5-11,1500,2,3000,100147464,Men's Fashion,\N,0,cod,07-01-2016,Gross,"3,000",2016,7,2016-7,Jul-16,FY17,18
211166,complete,07-01-2016,Ctees-Black Zip- Up Hoodie-XL,450,1,450,100147465,Kids & Baby,\N,0,cod,07-01-2016,Net,450,2016,7,2016-7,Jul-16,FY17,19
211168,complete,07-01-2016,Samsung Galaxy J5,20999,1,20999,100147466,Mobiles & Tablets,R-FSD-58130,0,cod,07-01-2016,Net,"20,999",2016,7,2016-7,Jul-16,FY17,20
211169,complete,07-01-2016,kcc_krone deal,360,1,360,100147467,Beauty & Grooming,R-FSD-58130,0,cod,07-01-2016,Net,360,2016,7,2016-7,Jul-16,FY17,20
211170,refund,07-01-2016,Veet_4,165,1,300,100147468,Beauty & Grooming,\N,82.5,cod,07-01-2016,Valid,165,2016,7,2016-7,Jul-16,FY17,21
